Wall time,Step,Val,Train,Val,Train
1557686980,1,17.76340294,16.58106041,0.108524598,0.120201863
1557687033,2,14.15055943,16.51928329,0.084549919,0.116772458
1557687085,3,16.38709641,16.60266495,0.09666004,0.120037436
1557687138,4,16.66819954,16.69248962,0.098887205,0.119170904
1557687190,5,16.73270226,16.52662659,0.09946163,0.118957691
1557687244,6,14.09695816,16.41637611,0.084775373,0.116235852
1557687296,7,15.07276058,16.26390648,0.08796867,0.11610236
1557687348,8,17.15550804,16.65965843,0.103015959,0.120746903
1557687401,9,13.80293083,16.63458443,0.086273603,0.121646553
1557687454,10,15.10561562,16.414814,0.08817064,0.116575986
1557687507,11,15.83371639,16.31053543,0.09259744,0.115493044
1557687559,12,15.16325188,16.62597656,0.088507757,0.118685529
1557687613,13,16.63743019,16.41750336,0.098499253,0.117741384
1557687666,14,14.40699577,16.54155731,0.08465071,0.118203089
1557687718,15,13.74951649,16.45941734,0.091204397,0.115630455
1557687771,16,14.08573437,16.47461319,0.084615126,0.11729382
1557687824,17,17.43015099,16.36376572,0.105334416,0.116633661
1557687877,18,15.87020683,16.522789,0.092822976,0.115884475
1557687930,19,18.37227249,16.37751961,0.114204347,0.116409205
1557687982,20,14.72437859,16.54035187,0.086216733,0.118915714
1557688035,21,15.75872231,16.35863304,0.091996111,0.117241874
1557688088,22,14.07941532,16.37615776,0.084152378,0.116399482
1557688141,23,15.57469368,16.59499931,0.090806589,0.119440116
1557688194,24,15.33508682,16.2221489,0.089523107,0.114872128
1557688247,25,17.83977509,16.4499836,0.109045982,0.117674433
1557688300,26,14.54961967,16.45467567,0.085588448,0.117098622
1557688352,27,13.77820969,16.49191666,0.085752077,0.117007904
1557688405,28,14.94788837,16.33936119,0.087296851,0.116798565
1557688457,29,15.32649899,16.42015266,0.089409024,0.118417561
1557688510,30,13.96967697,16.40566063,0.086137109,0.116732165
1557688564,31,19.86804008,16.5330677,0.129275724,0.117977291
1557688617,32,13.94194221,16.42424774,0.085044265,0.11627958
1557688670,33,16.10201645,16.35233688,0.094388187,0.117038667
1557688725,34,16.91283607,16.43317795,0.10077551,0.117501155
1557688779,35,14.25111675,16.47565079,0.084615923,0.117768869
1557688832,36,15.97724056,16.51612663,0.093588121,0.117910601
1557688886,37,16.46005249,16.55602264,0.097162701,0.11770124
1557688939,38,16.36697006,16.50339127,0.096515253,0.117154367
1557688991,39,14.61428261,16.51078796,0.085997716,0.117941365
1557689045,40,15.95780468,16.4859314,0.093290202,0.116159961
1557689098,41,13.86722946,16.49718475,0.085426778,0.11748746
1557689153,42,16.03404427,16.41248703,0.094017386,0.116878264
1557689206,43,16.29443359,16.55951881,0.133294016,0.118984781
1557689260,44,15.60790348,16.4436512,0.091203809,0.117348187
1557689313,45,15.29402351,16.53249168,0.089266621,0.117767498
1557689367,46,15.64206219,16.37837982,0.091149017,0.118234627
1557689421,47,17.78747749,16.55331802,0.10870105,0.119290084
1557689473,48,15.80414486,16.40774155,0.092390195,0.115675032
1557689526,49,15.26581097,16.50555611,0.089079179,0.118173391
1557689579,50,18.3425808,16.44619179,0.113744035,0.116898924
1557689632,51,15.76547146,16.66510963,0.092168853,0.121088065
1557689685,52,15.01161385,16.42249489,0.087656409,0.117974855
1557689737,53,16.99058342,16.29952049,0.101470709,0.115743913
1557689792,54,15.24201679,16.53385735,0.088842452,0.118213102
1557689844,55,15.48870277,16.34848404,0.090355061,0.116520293
1557689897,56,13.8745079,16.45193291,0.085572958,0.116320215
1557689950,57,13.81949615,16.50536156,0.094806507,0.116455965
1557690004,58,14.51578236,16.46710396,0.085444205,0.117861077
1557690059,59,14.56326008,16.37716293,0.085577682,0.117681317
1557690111,60,14.08716869,16.52120399,0.084534042,0.117404044
1557690165,61,14.34060192,16.41427803,0.084943861,0.11602544
1557690218,62,18.06230927,16.32994652,0.111233152,0.116787024
1557690270,63,15.13981152,16.40246964,0.088333592,0.116285279
1557690323,64,16.74365807,16.33336639,0.099511199,0.115461998
1557690378,65,14.55320454,16.45725822,0.085551038,0.117123321
1557690431,66,15.08556843,16.39565849,0.088029139,0.118025862
1557690485,67,13.745471,16.42939186,0.09164951,0.118059665
1557690539,68,18.78414726,16.51896667,0.117519505,0.120338246
1557690591,69,15.0351553,16.39091873,0.087836049,0.11675632
1557690645,70,13.76143169,16.52186584,0.092622414,0.118452609
1557690698,71,16.26186371,16.39315224,0.095507815,0.11684002
1557690751,72,15.18805981,16.59543419,0.088616863,0.119796731
1557690805,73,14.49282837,16.40688324,0.085473038,0.117269844
1557690857,74,14.071105,16.44490051,0.084674954,0.117518693
1557690911,75,15.87460613,16.40249634,0.092856005,0.116232827
1557690965,76,17.14536667,16.43622208,0.102907717,0.116944999
1557691019,77,15.6619978,16.50076675,0.091479883,0.116404735
1557691071,78,16.3307457,16.45512772,0.096119419,0.116482176
1557691125,79,14.48541832,16.3767395,0.085369632,0.117792509
1557691178,80,15.17613125,16.48135567,0.08859814,0.118538216
1557691232,81,14.3910656,16.55565643,0.085222892,0.116846882
1557691284,82,14.45858192,16.45714951,0.085095614,0.118811354
1557691339,83,15.45182037,16.50931168,0.090182446,0.117591001
1557691392,84,14.49001884,16.36058998,0.085221007,0.117684931
1557691445,85,13.72748852,16.36330223,0.092820816,0.117094032
1557691497,86,16.32848167,16.39660835,0.095979817,0.118583478
1557691551,87,13.81935787,16.35993385,0.086326651,0.116768539
1557691605,88,16.17593193,16.38680458,0.094972514,0.118483916
1557691660,89,13.89428139,16.32092285,0.097489588,0.116189636
1557691712,90,17.30289841,15.08804607,0.116863303,0.10201662
1557691767,91,17.86684227,13.62808037,0.118154645,0.084023297
1557691820,92,20.17811775,12.89021969,0.143492088,0.074338913
1557691872,93,23.14116096,11.88319397,0.181630313,0.064159103
1557691927,94,23.20854378,11.05760956,0.188798115,0.055255
1557691981,95,22.89740181,10.57333088,0.209664807,0.049676936
1557692034,96,20.34476089,10.08703136,0.154681444,0.04480084
1557692088,97,27.49347878,9.520228386,0.273935378,0.040589601
1557692142,98,30.76890945,9.267635345,0.331148058,0.038155302
1557692196,99,26.63993454,8.831445694,0.255258143,0.035184443
1557692248,100,23.02693939,8.52665329,0.20695062,0.031571157
1557692301,101,19.94842339,8.48683548,0.164028436,0.031668298
1557692355,102,21.0786953,8.000123024,0.191990763,0.028081749
1557692409,103,21.89317322,7.792816162,0.196259856,0.026493916
1557692463,104,27.81237411,7.708226681,0.291526914,0.026236102
1557692517,105,21.17557335,7.662461281,0.188612223,0.025279699
1557692571,106,22.4833107,7.637843132,0.19206816,0.025272463
1557692623,107,24.18273926,7.149106026,0.217774868,0.021918124
1557692678,108,26.3813076,7.278691769,0.265499473,0.022570144
1557692732,109,23.62516403,7.088845253,0.217851415,0.02119991
